id,usuario_id,registrado_em,lat,lon,origem_id
316,311,2014-05-17 14:14:10,-23.546254,-46.638487,355030860
317,312,2014-05-17 14:21:03,-23.528439,-46.719961,355030848
318,308,2014-05-17 14:32:24,-23.5653978,-46.7013892,355030809
319,180,2014-05-17 14:34:18,-23.545631,-46.636709,3507605
320,318,2014-05-17 14:39:38,-23.512237,-46.410882,355030836
321,319,2014-05-17 14:41:07,-23.5533698,-46.6417526,355030807
322,320,2014-05-17 14:43:03,-23.548469,-46.678269,355030862
323,311,2014-05-17 14:46:29,-23.544729,-46.636361,355030860
324,321,2014-05-17 14:48:02,-23.519740,-46.723012,355030895
325,322,2014-05-17 14:50:21,-23.575203,-46.727442,355030812
326,323,2014-05-17 14:51:32,-23.565639,-46.641206,3304557
327,36,2014-05-17 14:52:48,-23.548205,-46.637382,355030866
328,311,2014-05-17 14:54:05,-23.545294,-46.636428,355030860
329,327,2014-05-17 14:56:20,-23.497406,-46.589965,355030889
330,318,2014-05-17 14:57:01,-23.512217,-46.410975,355030836
331,328,2014-05-17 14:59:30,-23.6885265,-46.6545178,355030858
332,311,2014-05-17 14:59:59,-23.543860,-46.635752,355030860
333,315,2014-05-17 15:00:30,-23.5066156,-46.5012777,355030859
334,328,2014-05-17 15:04:41,-23.6885275,-46.6545169,355030858
335,329,2014-05-17 15:05:56,-23.532391,-46.513751,355030891
336,315,2014-05-17 15:06:25,-23.5154127,-46.5136664,355030859
337,330,2014-05-17 15:06:28,-23.5391912,-46.547003,355030880
338,36,2014-05-17 15:08:05,-23.545259,-46.636626,355030866
339,328,2014-05-17 15:10:08,-23.6884917,-46.6544604,355030858
340,331,2014-05-17 15:12:50,-23.5756333,-46.7309107,355030812
341,332,2014-05-17 15:15:40,-23.476562,-46.578457,355030894
342,333,2014-05-17 15:18:16,-23.5780504,-46.6709294,355030845
343,334,2014-05-17 15:18:54,-23.7542277,-46.8572517,3522208
344,268,2014-05-17 15:18:57,-23.524142,-46.666415,355030862
345,335,2014-05-17 15:22:03,-23.5543257,-46.7234684,355030812
346,291,2014-05-17 15:22:50,-23.6066087,-46.6770403,355030819
347,336,2014-05-17 15:28:45,-23.4625055,-46.6542329,355030851
348,328,2014-05-17 15:29:48,-23.6885269,-46.6545178,355030858
349,72,2014-05-17 15:30:23,-23.550636,-46.635166,355030853
350,282,2014-05-17 15:31:53,-23.569431,-46.726006,355030812
351,338,2014-05-17 15:34:24,-23.542811,-46.674958,355030860
352,337,2014-05-17 15:35:22,-23.569904,-46.639463,355030862
353,35,2014-05-17 15:35:23,-23.545616,-46.636773,355030860
354,72,2014-05-17 15:35:28,-23.547816,-46.638529,355030853
355,339,2014-05-17 15:36:17,-23.604068,-46.658364,355030837
356,328,2014-05-17 15:36:25,-23.6885269,-46.6545178,355030858
357,121,2014-05-17 15:37:58,-23.541747,-46.648297,355030869
358,336,2014-05-17 15:39:38,-23.4625254,-46.6541601,355030851
359,72,2014-05-17 15:41:04,-23.549596,-46.648322,355030853
360,341,2014-05-17 15:42:34,-23.549194,-46.648595,355030853
361,342,2014-05-17 15:43:12,-23.545255,-46.636023,355030877
362,342,2014-05-17 15:53:25,-23.545234,-46.636198,355030877
363,36,2014-05-17 15:53:45,-23.545609,-46.636857,355030866
364,311,2014-05-17 15:53:56,-23.545570,-46.636712,355030860
365,343,2014-05-17 15:56:07,-23.555125,-46.693487,355030862
366,111,2014-05-17 15:57:31,-23.5834626,-46.6327142,355030890
367,344,2014-05-17 15:59:39,-23.599897,-46.669757,355030832
368,345,2014-05-17 16:03:39,-23.602450,-46.671211,355030801
369,349,2014-05-17 16:04:43,-23.602629,-46.671210,355030848
370,36,2014-05-17 16:05:07,-23.545128,-46.636594,355030866
371,350,2014-05-17 16:05:33,-23.534584,-46.658317,355030869
372,351,2014-05-17 16:08:57,-23.545124,-46.636542,355030815
373,79,2014-05-17 16:09:16,-23.5438616,-46.4097637,355030831
374,352,2014-05-17 16:12:05,-23.491446,-46.467529,355030828
375,354,2014-05-17 16:16:10,-23.542258,-46.648855,355030814
376,352,2014-05-17 16:18:25,-23.491426,-46.467658,355030828
377,357,2014-05-17 16:21:59,-23.6668297,-46.495507,3547809
378,358,2014-05-17 16:24:19,-23.5398,-46.6400262,355030813
379,359,2014-05-17 16:24:36,-23.544755,-46.635837,355030844
380,360,2014-05-17 16:25:06,-23.569241,-46.4860693,355030873
381,315,2014-05-17 16:25:22,-23.5154127,-46.5136664,355030859
382,320,2014-05-17 16:25:23,-23.544922,-46.636269,355030862
383,362,2014-05-17 16:27:57,-23.571842,-46.653366,355030878
384,354,2014-05-17 16:31:47,-23.544330,-46.648361,355030814
385,363,2014-05-17 16:32:14,-23.5188611,-46.4226081,355030874
386,365,2014-05-17 16:33:25,0.0,0.0,355030805
387,368,2014-05-17 16:37:10,-23.547076,-46.639348,355030804
388,371,2014-05-17 16:38:09,-23.545333,-46.636876,355030869
389,372,2014-05-17 16:38:41,-23.545101,-46.636150,355030810
390,166,2014-05-17 16:39:15,-23.5410531,-46.7087309,355030848
391,374,2014-05-17 16:39:44,-23.545495,-46.636665,355030886
392,375,2014-05-17 16:40:17,-23.5465203,-46.6531842,355030869
393,270,2014-05-17 16:40:53,-23.5266994,-46.5146583,355030891
394,376,2014-05-17 16:41:30,-23.545431,-46.636290,355030869
395,110,2014-05-17 16:44:19,(null),(null),4115200
396,378,2014-05-17 16:45:36,-23.7452576,-46.6693874,355030830
397,377,2014-05-17 16:45:50,-23.553787,-46.5456944,355030826
398,380,2014-05-17 16:47:47,-23.7452576,-46.6693874,355030830
399,381,2014-05-17 16:55:28,-23.545585,-46.636264,5208707
400,361,2014-05-17 16:55:37,-19.914640,-43.939439,355030812
401,356,2014-05-17 16:58:25,0.0,0.0,355030870
402,383,2014-05-17 16:58:47,-23.5697001,-46.7112677,355030812
403,385,2014-05-17 17:00:14,-23.5276398,-46.6560989,355030806
404,386,2014-05-17 17:00:48,-23.545081,-46.636482,355030807
405,387,2014-05-17 17:01:24,-23.4804796,-46.7069468,355030848
406,388,2014-05-17 17:01:32,-23.541428,-46.633766,355030866
407,390,2014-05-17 17:02:07,-23.5441805,-46.6358975,355030848
408,389,2014-05-17 17:02:09,-23.545899,-46.639010,355030869
409,391,2014-05-17 17:02:29,-23.545061,-46.636595,355030892
410,185,2014-05-17 17:03:15,-23.530705,-46.641698,355030850
411,372,2014-05-17 17:03:28,-23.545809,-46.639010,355030810
412,180,2014-05-17 17:03:47,-23.545200,-46.636207,3507605
413,398,2014-05-17 17:04:10,-23.5589452,-46.6373819,3304557
414,338,2014-05-17 17:04:12,-23.547533,-46.686971,355030860
